strain_name,latitude,longitude
Borneo_sp_1,1.767,110.317
Borneo_sp_2_female,0.640,117.090
Borneo_sp_3,3.960,113.700
Borneo_sp_4_female,4.000,114.817
Borneo_sp_5_female,1.500,117.500
Borneo_sp_6a,1.758,110.330
Borneo_sp_7,1.758,110.330
Borneo_sp_8,1.758,110.330
Borneo_sp_9_female,5.810,116.240
Borneo_sp_10,1.688,109.851
Borneo_sp_11,6.010,116.530
Borneo_sp_12,0.640,117.090
Borneo_sp_13,1.067,117.833
Borneo_sp_14_female,3.960,113.700
China_sp_1,27.688,98.278
India_sp_1,25.508,90.232
Java_sp_1_juvenile,-6.733,106.492
Java_sp_2_female,-6.783,107.017
Java_sp_3,-6.783,107.017
Java_sp_4_juvenile,-6.746,106.997
Java_sp_5,-6.750,106.989
Java_sp_6_female,-7.247,108.264
Java_sp_7_juvenile,-7.318,107.872
Java_sp_8_female,-6.759,106.986
Java_sp_9_female,-6.765,106.983
Java_sp_10,-6.740,107.013
Java_sp_11_juvenile,-6.754,106.985
Java_sp_12,-6.798,107.016
Java_sp_13,-6.920,106.910
Java_sp_14,-6.757,106.523
Java_sp_15,-6.742,106.526
Java_sp_16,-6.741,106.527
Lingga_sp_1,-0.210,104.616
Lingga_sp_2,-0.210,104.616
New_Guinea_Stylocellus_lydekkeri,-2.717,134.500
New_Guinea_Stylocellus_novaguinea,-0.833,134.033
Peninsula_Fangensis_cavernarus,14.398,99.081
Peninsula_Fangensis_insulanus,7.885,98.437
Peninsula_Fangensis_leclerci,19.576,99.061
Peninsula_Fangensis_spelaeus,14.300,98.983
Peninsula_sp_1,1.830,103.833
Peninsula_sp_2,4.397,102.431
Peninsula_sp_3_female,2.356,102.630
Peninsula_sp_4,3.911,103.147
Peninsula_sp_5,3.716,101.739
Peninsula_sp_6,3.716,101.739
Peninsula_sp_7_female,1.581,103.510
Peninsula_sp_8,4.867,100.783
Peninsula_sp_9a,5.950,101.500
Peninsula_sp_9b_juvenile,5.950,101.500
Peninsula_sp_10,6.970,100.100
Peninsula_sp_11,14.250,101.980
Peninsula_sp_12,14.250,101.980
Peninsula_sp_13,8.450,99.710
Peninsula_sp_14,9.767,98.414
Peninsula_sp_15,5.380,100.260
Peninsula_sp_16,9.767,98.414
Peninsula_sp_17a,9.918,98.943
Peninsula_sp_17b,9.918,98.943
Peninsula_sp_18,6.670,101.150
Peninsula_sp_19a,8.182,98.842
Peninsula_sp_19b,8.367,98.738
Peninsula_sp_19c,8.239,98.920
Peninsula_sp_19d,7.885,98.437
Peninsula_sp_20,2.777,104.153
Peninsula_sp_21,6.417,99.800
Peninsula_sp_22,2.783,104.117
Sulawesi_sp_1_juvenile,1.357,124.770
Sulawesi_sp_2a,1.357,124.770
Sulawesi_sp_2b,1.346,124.871
Sulawesi_sp_3,0.455,123.949
Sulawesi_sp_4_juvenile,0.759,124.422
Sulawesi_sp_5,0.759,124.420
Sulawesi_sp_6,1.490,125.153
Sulawesi_sp_7,-5.043,119.736
Sumatra_sp_1,-3.900,102.320
Sumatra_sp_2a_juvenile,-0.106,100.664
Sumatra_sp_2b_female,-0.107,100.677
Sumatra_sp_3,-0.242,100.350
Sumatra_sp_4a,-1.746,98.788
Sumatra_sp_4b,-0.107,100.677
Sumatra_sp_4c,-0.477,100.354
Sumatra_sp_4d,-0.300,100.230
Sumatra_sp_5,-0.946,100.544
Sumatra_sp_6,-0.946,100.544
Sumatra_sp_7,3.221,98.497
Sumatra_sp_8,0.346,100.069
Sumatra_sp_9,-0.391,100.441
Sumatra_sp_10,0.054,100.209
Sumatra_sp_11a,-0.096,100.666
Sumatra_sp_11b,-0.106,100.664
Sumatra_sp_12,-2.840,101.880
Sumatra_sp_13,-0.106,100.664
Sumatra_sp_14,-1.696,102.264
Sumatra_sp_15,0.346,100.069
Protolophus_singularis,37.000,-119.000
Megalopsalis_sp,-42.000,174.000
Sandokan_malayanus,2.500,112.500
Hesperonemastoma_modestum,44.000,-120.000
Dendrolasma_parvulum,36.000,138.000
Equitius_doriae,-25.000,135.000
Huitaca_sp,4.000,-72.000
Metagovea_sp_Nambi,4.000,-72.000
Metagovea_sp,4.000,-72.000
Metasiro_americanus,28.000,-82.000
Parogovia_sironoides,3.580,8.750
Austropurcellia_forsteri,-15.000,143.000
Chileogovea_oedipus,-30.000,-71.000
Karripurcellia_harveyi,-16.000,127.000
Parapurcellia_silvicola,-30.000,26.000
Pettalus_cf._brevicauda,7.000,81.000
Rakaia_crypta,-42.000,174.000
Rakaia_minutissima,-42.000,174.000
Rakaia_sorenseni,-42.000,174.000
Cyphophtalmus_eratoae,41.830,22.000
Cyphophtalmus_sp_Bulgaria,43.000,25.000
Cyphophtalmus_teyrovskyi,42.500,19.330
Parasiro_coiffaiti,40.000,-4.000
Siro_valleorum,42.830,12.830
Suzukielus_sauteri,36.000,138.000
Troglosiro_aelleni,-21.500,165.500
Troglosiro_longifossa,-21.500,165.500