Taxid,Lat,Long,date
EPI103054,45.166,15.5,2005-10-19
DQ095622,36,96,2005-01-01
EPI97195,36,96,2005-01-01
DQ137873,36,96,2005-01-01
EPI98575,36,96,2005-01-01
EPI99679,54.586,79.457,2005-01-01
EPI99675,54.586,79.457,2005-01-01
EPI99677,54.586,79.457,2005-01-01
EPI97179,36,96,2005-01-01
DQ095614,36,96,2005-01-01
EPI100492,28,116,2005-01-01
EPI100488,28,116,2005-01-01
EPI97189,36,96,2005-01-01
EPI97191,36,96,2005-01-01
DQ095619,36,96,2005-01-01
DQ095620,36,96,2005-01-01
EPI163686,21.016,75.566,2006-02-25
EPI163702,21.016,75.566,2006-02-18
EPI163694,21.016,75.566,2006-02-21
EPI97177,36,96,2005-01-01
EPI97185,36,96,2005-01-01
EPI97175,36,96,2005-01-01
DQ095613,36,96,2005-01-01
DQ095612,36,96,2005-01-01
DQ095617,36,96,2005-01-01
DQ095616,36,96,2005-01-01
EPI97183,36,96,2005-01-01
DQ095615,36,96,2005-01-01
DQ095618,36,96,2005-01-01
DQ095621,36,96,2005-01-01
EPI97193,36,96,2005-01-01
EPI97187,36,96,2005-01-01
EPI97181,36,96,2005-01-01
DQ095623,36,96,2005-01-01
EPI97197,36,96,2005-01-01
EPI100494,36,96,2005-01-01
DQ100554,36,96,2005-01-01
EPI97702,36,96,2005-01-01
DQ100555,36,96,2005-01-01
EPI97704,36,96,2005-01-01
DQ100556,36,96,2005-01-01
EPI97706,36,96,2005-01-01