TM_number,latitude,longitude
AP009280,-7.0000,-77.0000
726,-9.8333,-77.6167
728,-6.5833,-73.2333
730,-12.05,-77.05
618,-12.15,-76.2333
610,-11.4667,-76.65
650,-8.15,-78.1833
759,-8.1167,-79.0333
637,-7.9,-78.5833
631,-9.5,-78.3
729,-10.1333,-77.4167
537,-7.3833,-78.9
617,-12.15,-76.2333
608,-11.4167,-75.6833
708,-6.2167,-77.9
733,-6.55,-78.65
582,-7.3667,-78.8167
716,-7.8597,-77.9433
616,-12.15,-76.2333
656,-7.3667,-78.8167
660,-7.3667,-78.8167
740,-7.05,-78.9
460,0.75,-78.0833
723,-8.5667,-77.6167
713,-8.15,-78.1833
719,-7.7833,-77.5833
722,-8.2833,-77.3
712,-8,-78.5
647,-8.15,-78.1833
742,-7.1667,-78.5167
670,-6.7667,-78.6167
564,-15.7833,-68.6333
715,-7.8597,-77.9433
737,-6.7667,-78.6167
725,-9.8333,-77.6167
718,-7.7833,-77.5833
705,-6.25,-78.8333
731,-6.55,-78.65
741,-7.115,-78.8217
560,-4.1667,-79.5
640,-7.9,-78.5833
755,-7.3667,-78.8167
615,-12.15,-76.2333
758,-7.9,-78.5833
744,-7.1667,-78.5167
706,-6.7089,-77.8042
639,-7.9,-78.5833
674,-6.55,-78.65
738,-7.05,-78.9
692,9.5556,-83.6664
697,10.2997,-84.7986
699,10.5,-84.5
320,14.75,-91.6667
633,17,-96.5
401,16.5,-92.5
349,19.25,-99.1667
602,19.25,-99.1667
390,28.5,-106
421,28.5,-106
365,19.4167,-99.1667
454,19.1667,-101.8333
555,11.8333,-85.9667
571,19.3333,-96.6667
605,10.3333,-84.75
691,9.6667,-84
696,10,-84.8333
694,9.7833,-84.9333
547,19.1167,-70.6167
450,-0.1667,-78.6667